estado,unidade,tipo_unidade,unidade_original,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales,categoria_preliminar,filtro_bosque_pct,categoria_definitiva,_status
Falcón,Zamora (Puerto Cumarebo),municipio,Falcón - Zamora (Puerto Cumarebo),36401,Localidad mediana,18,18,3,1,Desierto,,Desierto,ok
Delta Amacuro,Antonio Díaz Curiapo (Curiapo),municipio,Delta Amacuro - Antonio Díaz Curiapo (Curiapo),30116,Localidad mediana,5,4,1,,Desierto,,Desierto,ok
Delta Amacuro,Casacoima (Sierra Imataca),municipio,Delta Amacuro - Casacoima (Sierra Imataca),36645,Localidad mediana,4,2,2,,Desierto,,Desierto,ok
Delta Amacuro,Pedernales,municipio,Delta Amacuro - Pedernales,7206,Localidad pequeña,5,4,2,1,Desierto,,Desierto,ok
Delta Amacuro,Tucupita,municipio,Delta Amacuro - Tucupita,115825,Localidad grande,7,7,2,1,Desierto,,Desierto,ok
Guárico,Esteros de Camaguan,municipio,Guárico - Esteros de Camaguan,27104,Localidad mediana,7,3,3,2,Desierto,,Desierto,ok
Guárico,Chaguaramas,municipio,Guárico - Chaguaramas,15263,Localidad pequeña,8,5,5,2,Desierto,,Desierto,ok
Guárico,El Socorro,municipio,Guárico - El Socorro,18024,Localidad pequeña,8,4,4,2,Desierto,,Desierto,ok
Guárico,Francisco de Miranda (Calabozo),municipio,Guárico - Francisco de Miranda (Calabozo),156629,Localidad grande,12,7,7,2,Desierto,,Desierto,ok
Guárico,José Félix Ribas (Tucupido),municipio,Guárico - José Félix Ribas (Tucupido),40222,Localidad mediana,7,4,4,2,Desierto,,Desierto,ok
Guárico,José Tadeo Monagas (Altagracia de Orituco),municipio,Guárico - José Tadeo Monagas (Altagracia de Orituco),82492,Localidad mediana,13,7,7,3,Desierto,,Desierto,ok
Guárico,Juan Germán Roscio (San Juan de Los Morros),municipio,Guárico - Juan Germán Roscio (San Juan de Los Morros),145327,Localidad grande,13,7,7,2,Desierto,,Desierto,ok
Guárico,Julián Mellado (El Sombrero),municipio,Guárico - Julián Mellado (El Sombrero),29422,Localidad mediana,8,4,4,2,Desierto,,Desierto,ok
Guárico,Las Mercedes,municipio,Guárico - Las Mercedes,36207,Localidad mediana,9,4,4,2,Desierto,,Desierto,ok
Guárico,Leonardo Infante (Valle de La Pascua),municipio,Guárico - Leonardo Infante (Valle de La Pascua),137715,Localidad grande,14,9,9,2,Desierto,,Desierto,ok
Guárico,Pedro Zaraza (Zaraza),municipio,Guárico - Pedro Zaraza (Zaraza),25423,Localidad mediana,10,6,6,2,Desierto,,Desierto,ok
Guárico,Ortíz,municipio,Guárico - Ortíz,66589,Localidad mediana,0,0,0,2,Desierto,,Desierto,ok
Guárico,San Gerónimo de Guayabal (Guayabal),municipio,Guárico - San Gerónimo de Guayabal (Guayabal),21075,Localidad pequeña,8,4,4,2,Desierto,,Desierto,ok
Guárico,San José de Guaribe,municipio,Guárico - San José de Guaribe,12338,Localidad pequeña,7,4,4,2,Desierto,,Desierto,ok
Guárico,Santa María de Ipire,municipio,Guárico - Santa María de Ipire,13894,Localidad pequeña,6,4,4,2,Desierto,,Desierto,ok
Lara,Andrés Eloy Blanco (Sanare),municipio,Lara - Andrés Eloy Blanco (Sanare),49640,Localidad mediana,7,7,4,2,Desierto,,Desierto,ok
Lara,Crespo (Duaca),municipio,Lara - Crespo (Duaca),53714,Localidad mediana,6,6,3,2,Desierto,,Desierto,ok
Lara,Iribarren (Barquisimeto),municipio,Lara - Iribarren (Barquisimeto),1054915,Localidad grande,13,12,8,3,Desierto,,Desierto,ok
Lara,Jiménez (Quibor),municipio,Lara - Jiménez (Quibor),106111,Localidad grande,8,8,3,2,Desierto,,Desierto,ok
Lara,Morán (El Tocuyo),municipio,Lara - Morán (El Tocuyo),127031,Localidad grande,9,9,4,2,Desierto,,Desierto,ok
Lara,Palavecino (Cabudare),municipio,Lara - Palavecino (Cabudare),183524,Localidad grande,13,12,6,3,Desierto,,Desierto,ok
Lara,Simón Planas (Sarare),municipio,Lara - Simón Planas (Sarare),37036,Localidad mediana,6,6,3,2,Desierto,,Desierto,ok
Lara,Torres (Carora),municipio,Lara - Torres (Carora),190460,Localidad grande,12,11,7,3,Desierto,,Desierto,ok
Lara,Urdaneta (Siquisique),municipio,Lara - Urdaneta (Siquisique),62937,Localidad mediana,8,5,6,3,Desierto,,Desierto,ok
La Guaira,Parroquia Caraballeda,municipio,La Guaira - Parroquia Caraballeda,45678,Localidad mediana,5,,,2,Desierto,,Desierto,ok
La Guaira,Parroquia Carayaca,municipio,La Guaira - Parroquia Carayaca,39464,Localidad mediana,3,,,1,Desierto,,Desierto,ok
